Departement;Candidat;percent
75;JOLY;4.18
75;LE PEN;6.20
75;SARKOZY;32.19
75;MELENCHON;11.09
75;POUTOU;0.67
75;ARTHAUD;0.27
75;CHEMINADE;0.23
75;BAYROU;9.34
75;DUPONT-AIGNAN;1.00
75;HOLLANDE;34.83
77;JOLY;1.96
77;LE PEN;19.65
77;SARKOZY;27.27
77;MELENCHON;11.01
77;POUTOU;1.02
77;ARTHAUD;0.46
77;CHEMINADE;0.26
77;BAYROU;8.55
77;DUPONT-AIGNAN;2.18
77;HOLLANDE;27.65
78;JOLY;2.50
78;LE PEN;12.43
78;SARKOZY;34.25
78;MELENCHON;9.11
78;POUTOU;0.80
78;ARTHAUD;0.35
78;CHEMINADE;0.28
78;BAYROU;11.24
78;DUPONT-AIGNAN;1.73
78;HOLLANDE;27.32
91;JOLY;2.35
91;LE PEN;15.20
91;SARKOZY;25.46
91;MELENCHON;12.26
91;POUTOU;0.94
91;ARTHAUD;0.41
91;CHEMINADE;0.24
91;BAYROU;9.33
91;DUPONT-AIGNAN;3.41
91;HOLLANDE;30.39
92;JOLY;2.74
92;LE PEN;8.51
92;SARKOZY;34.97
92;MELENCHON;10.35
92;POUTOU;0.69
92;ARTHAUD;0.30
92;CHEMINADE;0.26
92;BAYROU;10.69
92;DUPONT-AIGNAN;1.34
92;HOLLANDE;30.16
93;JOLY;2.21
93;LE PEN;13.55
93;SARKOZY;19.48
93;MELENCHON;16.99
93;POUTOU;0.92
93;ARTHAUD;0.51
93;CHEMINADE;0.24
93;BAYROU;6.12
93;DUPONT-AIGNAN;1.31
93;HOLLANDE;38.68
94;JOLY;2.63
94;LE PEN;11.86
94;SARKOZY;26.57
94;MELENCHON;14.00
94;POUTOU;0.84
94;ARTHAUD;0.38
94;CHEMINADE;0.26
94;BAYROU;8.87
94;DUPONT-AIGNAN;1.66
94;HOLLANDE;32.93
95;JOLY;2.05
95;LE PEN;15.60
95;SARKOZY;26.25
95;MELENCHON;11.95
95;POUTOU;0.96
95;ARTHAUD;0.44
95;CHEMINADE;0.25
95;BAYROU;8.39
95;DUPONT-AIGNAN;1.70
95;HOLLANDE;32.41
08;JOLY;1.22
08;LE PEN;24.50
08;SARKOZY;24.43
08;MELENCHON;9.28
08;POUTOU;1.29
08;ARTHAUD;0.77
08;CHEMINADE;0.24
08;BAYROU;7.52
08;DUPONT-AIGNAN;1.82
08;HOLLANDE;28.93
10;JOLY;1.41
10;LE PEN;25.13
10;SARKOZY;30.32
10;MELENCHON;7.94
10;POUTOU;1.01
10;ARTHAUD;0.61
10;CHEMINADE;0.25
10;BAYROU;8.37
10;DUPONT-AIGNAN;2.17
10;HOLLANDE;22.78
51;JOLY;1.51
51;LE PEN;22.44
51;SARKOZY;29.87
51;MELENCHON;8.52
51;POUTOU;1.19
51;ARTHAUD;0.66
51;CHEMINADE;0.24
51;BAYROU;9.50
51;DUPONT-AIGNAN;2.03
51;HOLLANDE;24.05
52;JOLY;1.38
52;LE PEN;25.26
52;SARKOZY;27.99
52;MELENCHON;8.89
52;POUTOU;1.33
52;ARTHAUD;0.79
52;CHEMINADE;0.24
52;BAYROU;7.97
52;DUPONT-AIGNAN;2.41
52;HOLLANDE;23.75
02;JOLY;1.16
02;LE PEN;26.33
02;SARKOZY;24.20
02;MELENCHON;10.19
02;POUTOU;1.30
02;ARTHAUD;0.84
02;CHEMINADE;0.25
02;BAYROU;6.68
02;DUPONT-AIGNAN;1.96
02;HOLLANDE;27.10
60;JOLY;1.51
60;LE PEN;25.08
60;SARKOZY;26.59
60;MELENCHON;10.11
60;POUTOU;1.22
60;ARTHAUD;0.78
60;CHEMINADE;0.25
60;BAYROU;7.61
60;DUPONT-AIGNAN;1.95
60;HOLLANDE;24.90
80;JOLY;1.22
80;LE PEN;23.77
80;SARKOZY;23.91
80;MELENCHON;11.00
80;POUTOU;1.28
80;ARTHAUD;0.89
80;CHEMINADE;0.22
80;BAYROU;7.31
80;DUPONT-AIGNAN;2.02
80;HOLLANDE;28.37
27;JOLY;1.66
27;LE PEN;22.75
27;SARKOZY;27.78
27;MELENCHON;10.34
27;POUTOU;1.37
27;ARTHAUD;0.65
27;CHEMINADE;0.27
27;BAYROU;8.41
27;DUPONT-AIGNAN;2.11
27;HOLLANDE;24.65
76;JOLY;1.63
76;LE PEN;18.90
76;SARKOZY;25.03
76;MELENCHON;13.20
76;POUTOU;1.28
76;ARTHAUD;0.71
76;CHEMINADE;0.24
76;BAYROU;7.83
76;DUPONT-AIGNAN;1.79
76;HOLLANDE;29.40
18;JOLY;1.58
18;LE PEN;19.73
18;SARKOZY;24.96
18;MELENCHON;13.81
18;POUTOU;1.22
18;ARTHAUD;0.76
18;CHEMINADE;0.24
18;BAYROU;8.84
18;DUPONT-AIGNAN;2.11
18;HOLLANDE;26.76
28;JOLY;1.60
28;LE PEN;20.72
28;SARKOZY;29.39
28;MELENCHON;8.96
28;POUTOU;1.22
28;ARTHAUD;0.67
28;CHEMINADE;0.26
28;BAYROU;9.22
28;DUPONT-AIGNAN;2.24
28;HOLLANDE;25.71
36;JOLY;1.45
36;LE PEN;19.55
36;SARKOZY;24.16
36;MELENCHON;11.26
36;POUTOU;1.43
36;ARTHAUD;0.86
36;CHEMINADE;0.28
36;BAYROU;8.98
36;DUPONT-AIGNAN;2.17
36;HOLLANDE;29.87
37;JOLY;2.23
